item_id,dataset,is_correct,total_tokens,total_episodes,prop_forward,prop_verification,prop_backtrack,prop_restart,prop_hesitation,prop_subgoal,prop_conclusion,backtrack_count,verification_count,restart_count,vf_ratio,bt_position_mean,first_conclusion_pos,v_clustering,max_forward_run,transition_entropy,cycle_count,wait_ratio,question_mark_count,negation_count,repetition_rate_4gram,semantic_recurrence_rate,max_semantic_cycle_span,progress_repetition,termination_recycle,revision_ineffectiveness,problem_conclusion_sim,problem_trace_max_sim,problem_drift,problem_keyword_coverage
gsm8k_0000,gsm8k,1,99.0,5.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6,0.7220841944217682,0.6925792694091797,0.0,0.757359576270984,0.7824729681015015,0.010282112804897547,0.47619047619047616
gsm8k_0001,gsm8k,1,66.0,3.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.799779623746872,0.0,0.0,0.8950445044834667,0.8333644270896912,0.0,0.6363636363636364
gsm8k_0002,gsm8k,0,136.0,9.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0150375939849624,0.0714285714285714,0.6666666666666666,0.622764840722084,0.3639164566993713,0.0,0.6803490939039302,0.7248337268829346,0.14723595944174073,0.5833333333333334
gsm8k_0003,gsm8k,1,106.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952380952380952,0.375,0.6139041313103267,0.4965336322784424,0.0,0.6823535917470916,0.6596397161483765,0.12989735710476757,0.8181818181818182
gsm8k_0004,gsm8k,0,135.0,5.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0757575757575758,0.6666666666666666,0.8,0.7625177800655365,0.7695940732955933,0.0,0.5952853203660468,0.7945483922958374,0.20532309967938056,0.4482758620689655
gsm8k_0005,gsm8k,1,116.0,7.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0619469026548672,0.1333333333333333,0.2857142857142857,0.7088888486226399,0.646260678768158,0.0,0.6626727884384971,0.6801363825798035,-0.11104896488412119,0.5714285714285714
gsm8k_0006,gsm8k,1,77.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0135135135135134,0.6666666666666666,0.75,0.7855279246966044,0.7767440676689148,0.0,0.8210514284452961,0.7901400327682495,0.0,0.875
gsm8k_0007,gsm8k,0,200.0,11.0,0.9090909090909092,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0253807106598984,0.1777777777777777,0.8181818181818182,0.6543789714574814,0.6177684664726257,0.0,0.7639156369910384,0.7604615688323975,-0.06762390116995942,0.7647058823529411
gsm8k_0008,gsm8k,1,1849.0,132.0,0.8257575757575758,0.0227272727272727,0.0984848484848484,0.0075757575757575,0.0378787878787878,0.0,0.0075757575757575,13.0,3.0,1.0,0.0275229357798165,0.5231943628890193,1.0,0.6853932584269663,15.0,0.5383015744014459,90.0,0.010275824770146,7.0,9.0,0.176056338028169,0.0617733411626541,0.8939393939393939,0.7359105573241947,0.3895275294780731,0.3297129878057883,0.3954655062094483,0.7901618480682373,-0.006510596957376769,1.0
gsm8k_0009,gsm8k,0,83.0,5.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0124999999999999,0.1666666666666666,0.4,0.700038492679596,0.6764382123947144,0.0,0.6456195527945451,0.7948311567306519,0.26316689169411955,0.625
