length_bin,variant,n_features,n_items,pos_rate,auroc
"bin1_[0,104]",length_only,1,1262,0.5847860538827259,0.48658821034775235
"bin1_[0,104]",step_only,1,1262,0.5847860538827259,0.6689564844121723
"bin1_[0,104]",handcrafted+rec,28,1262,0.5847860538827259,0.6070564140755911
"bin1_[0,104]",STRUCTURAL_FULL,29,1262,0.5847860538827259,0.6713212933656055
"bin1_[0,104]",text_only,1,1262,0.5847860538827259,0.7835934752477296
"bin1_[0,104]",text+struct,2,1262,0.5847860538827259,0.7807334657316037
"bin1_[0,104]",FULL_HYBRID,30,1262,0.5847860538827259,0.7705243178385982
"bin2_[104,177]",length_only,1,1288,0.5046583850931677,0.5374270557029178
"bin2_[104,177]",step_only,1,1288,0.5046583850931677,0.6447950325536532
"bin2_[104,177]",handcrafted+rec,28,1288,0.5046583850931677,0.5884253677357125
"bin2_[104,177]",STRUCTURAL_FULL,29,1288,0.5046583850931677,0.6425247166626477
"bin2_[104,177]",text_only,1,1288,0.5046583850931677,0.7732264287436701
"bin2_[104,177]",text+struct,2,1288,0.5046583850931677,0.7722401736194839
"bin2_[104,177]",FULL_HYBRID,30,1288,0.5046583850931677,0.7610079575596818
"bin3_[177,439]",length_only,1,1270,0.694488188976378,0.5329718657222339
"bin3_[177,439]",step_only,1,1270,0.694488188976378,0.6192258690417748
"bin3_[177,439]",handcrafted+rec,28,1270,0.694488188976378,0.6433831264464549
"bin3_[177,439]",STRUCTURAL_FULL,29,1270,0.694488188976378,0.6469861140332421
"bin3_[177,439]",text_only,1,1270,0.694488188976378,0.750569815555088
"bin3_[177,439]",text+struct,2,1270,0.694488188976378,0.7486762746335649
"bin3_[177,439]",FULL_HYBRID,30,1270,0.694488188976378,0.7322480538607195
"bin4_[439,908]",length_only,1,1280,0.71796875,0.5400833134896115
"bin4_[439,908]",step_only,1,1280,0.71796875,0.6182394448982544
"bin4_[439,908]",handcrafted+rec,28,1280,0.71796875,0.6287214514150332
"bin4_[439,908]",STRUCTURAL_FULL,29,1280,0.71796875,0.6406005564280095
"bin4_[439,908]",text_only,1,1280,0.71796875,0.7705020813301222
"bin4_[439,908]",text+struct,2,1280,0.71796875,0.7674335888400916
"bin4_[439,908]",FULL_HYBRID,30,1280,0.71796875,0.7522960944541067
"bin5_[908,20534]",length_only,1,1278,0.5688575899843505,0.6564206132653647
"bin5_[908,20534]",step_only,1,1278,0.5688575899843505,0.6569398642458254
"bin5_[908,20534]",handcrafted+rec,28,1278,0.5688575899843505,0.6905488832359322
"bin5_[908,20534]",STRUCTURAL_FULL,29,1278,0.5688575899843505,0.7063311173632036
"bin5_[908,20534]",text_only,1,1278,0.5688575899843505,0.8341991677005919
"bin5_[908,20534]",text+struct,2,1278,0.5688575899843505,0.8314081936806157
"bin5_[908,20534]",FULL_HYBRID,30,1278,0.5688575899843505,0.822283855538386
